player,Team,total_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended
Matt Miazga,Cincinnati,6,0,2,0,4
Matt Polster,New England Revolution,1,0,0,0,1
Mauricio Cuevas,LA Galaxy,1,0,1,0,0
Mauricio Pineda,Chicago Fire FC,6,5,0,0,1
Max,Colorado Rapids,9,1,0,0,8
Max Anchor,Vancouver Whitecaps,2,2,0,0,0
Maxime Chanot,New York City FC,1,0,0,1,0
Maxime Crépeau,LAFC,18,16,0,0,2
Maximiliano Moralez,New York City FC,6,6,0,0,0
Maximiliano Urruti,Austin FC,4,4,0,0,0
McKinze Gaines,Charlotte,4,4,0,0,0
Memo Rodríguez,LA Galaxy,4,4,0,0,0
Micael,Houston Dynamo FC,1,1,0,0,0
Michael Baldisimo,San Jose Earthquakes,1,1,0,0,0
Michael Bradley,Toronto FC,9,9,0,0,0
Michael Edwards,Colorado Rapids,2,2,0,0,0
Michael Halliday,Orlando City,7,7,0,0,0
Miguel Araujo,Portland Timbers,1,0,1,0,0
Miguel Perez,St. Louis City,7,7,0,0,0
Miguel Tapias,Minnesota United,1,1,0,0,0
Miguel Trauco,San Jose Earthquakes,1,0,1,0,0
Mikael Marques,Minnesota United,12,12,0,0,0
Mikael Uhre,Philadelphia Union,2,2,0,0,0
Miles Robinson,Atlanta United,2,0,2,0,0
Milos Degenek,Columbus Crew,4,4,0,0,0
Mitja Ilenic,New York City FC,6,6,0,0,0
Mohanad Jeahze,DC United,18,17,0,0,1
Moise Bombito,Colorado Rapids,10,7,1,0,2
Nacho Gil,New England Revolution,18,18,0,0,0
Nathan,San Jose Earthquakes,27,27,0,0,0
