game,team,player,game_id,player_id,reason,status
2023-05-14 Portland Timbers-Vancouver Whitecaps,Portland Timbers,Felipe Mora,1701871,393150,injured,Out
2023-05-14 Portland Timbers-Vancouver Whitecaps,Vancouver Whitecaps,Max Anchor,1701871,438987,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Los Angeles FC,Eldin Jakupovic,1701860,18310,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Los Angeles FC,Maxime Crépeau,1701860,137263,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Los Angeles FC,Tony Leone,1701860,399744,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Anderson Julio,1701860,329226,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Bode Hidalgo,1701860,425148,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Erik Holt,1701860,371974,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Jasper Löffelsend,1701860,433621,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Tomás Gómez,1701860,433620,injured,Out
2023-05-14 Real Salt Lake-Los Angeles FC,Real Salt Lake,Zack Farnsworth,1701860,448622,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Minnesota United,Bakaye Dibassy,1701856,248278,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Minnesota United,Kervin Arriaga,1701856,433488,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Minnesota United,Mikael Marques,1701856,407883,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Minnesota United,Ryen Jiba,1701856,471103,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Sporting Kansas City,Kayden Pierre,1701856,419819,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Sporting Kansas City,Kortne Ford,1701856,333995,injured doubtful,Doubtful
2023-05-14 Sporting Kansas City-Minnesota United,Sporting Kansas City,Nemanja Radoja,1701856,239053,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Sporting Kansas City,Tim Leibold,1701856,140849,injured,Out
2023-05-14 Sporting Kansas City-Minnesota United,Sporting Kansas City,William Agada,1701856,442600,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Atlanta United,Brad Guzan,1701863,28746,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Atlanta United,Osvaldo Alonso,1701863,72567,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Colorado Rapids,Aboubacar Keita,1701863,377604,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Colorado Rapids,Abraham Rodriguez,1701863,426072,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Colorado Rapids,Jack Price,1701863,105891,injured,Out
2023-05-17 Atlanta United-Colorado Rapids,Colorado Rapids,Moise Bombito,1701863,474201,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Charlotte FC,Bill Tuiloma,1701865,141264,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Charlotte FC,Guzmán Corujo,1701865,433524,injured,Out
